Date,Activity,Score
June 21,SKILL PRACTICE,4
June 21,SKILL PRACTICE,5
June 20,TIMED MINI-SECTION,8
June 20,SKILL PRACTICE,4
June 20,SKILL PRACTICE,5
June 20,TIMED MINI-SECTION,8
June 20,SKILL PRACTICE,4
April 11,SKILL PRACTICE,5
April 11,TIMED MINI-SECTION,8
April 11,TIMED MINI-SECTION,10
April 11,SKILL PRACTICE,4
March 31,TIMED MINI-SECTION,9
March 31,SKILL PRACTICE,4
March 31,TIMED MINI-SECTION,8
March 28,SKILL PRACTICE,4
March 28,SKILL PRACTICE,4
March 28,TIMED MINI-SECTION,8
March 28,SKILL PRACTICE,3
March 28,SKILL PRACTICE,5
March 20,TIMED MINI-SECTION,8
March 14,TIMED MINI-SECTION,10
March 14,SKILL PRACTICE,4
March 12,SKILL PRACTICE,2
March 12,TIMED MINI-SECTION,9
March 11,PRACTICE TEST 8 SECTION,37
March 11,PRACTICE TEST 8 SECTION,17
January 28,SKILL PRACTICE,4
January 28,TIMED MINI-SECTION,9
January 28,SKILL PRACTICE,5
January 15,SKILL PRACTICE,4
January 15,TIMED MINI-SECTION,8
January 11,TIMED MINI-SECTION,10
January 11,SKILL PRACTICE,5
January 10,TIMED MINI-SECTION,7
January 9,TIMED MINI-SECTION,10
January 9,SKILL PRACTICE,5
January 9,TIMED MINI-SECTION,9
January 8,SKILL PRACTICE,5
January 4,SKILL PRACTICE,3
January 4,TIMED MINI-SECTION,7
January 4,SKILL PRACTICE,3
January 3,TIMED MINI-SECTION,9
January 3,SKILL PRACTICE,3
January 2,SKILL PRACTICE,3
January 2,SKILL PRACTICE,4
January 1,TIMED MINI-SECTION,8
"December 31, 2022",PRACTICE TEST 9 SECTION,34
"December 31, 2022",PRACTICE TEST 9 SECTION,20
"September 14, 2021",SKILL PRACTICE,1
"February 17, 2021",SKILL PRACTICE,5
"February 17, 2021",SKILL PRACTICE,1
"February 17, 2021",TIMED MINI-SECTION,7
"February 17, 2021",TIMED MINI-SECTION,10
"February 16, 2021",SKILL PRACTICE,5
"February 16, 2021",SKILL PRACTICE,3
"February 16, 2021",SKILL PRACTICE,4
"February 16, 2021",SKILL PRACTICE,1
"February 16, 2021",SKILL PRACTICE,3
"February 16, 2021",SKILL PRACTICE,3
"February 15, 2021",TIMED MINI-SECTION,7
"February 14, 2021",SKILL PRACTICE,4
"February 14, 2021",SKILL PRACTICE,1
"February 14, 2021",SKILL PRACTICE,2
"February 14, 2021",TIMED MINI-SECTION,7
"February 14, 2021",SKILL PRACTICE,3
"January 12, 2021",SKILL PRACTICE,2
"January 12, 2021",SKILL PRACTICE,5
"January 12, 2021",TIMED MINI-SECTION,7
"January 7, 2021",SKILL PRACTICE,2
"January 7, 2021",SKILL PRACTICE,5
"January 7, 2021",SKILL PRACTICE,3
"January 7, 2021",TIMED MINI-SECTION,7
"January 5, 2021",SKILL PRACTICE,4
"January 5, 2021",SKILL PRACTICE,4
"January 5, 2021",SKILL PRACTICE,5
"January 5, 2021",TIMED MINI-SECTION,7
"January 5, 2021",SKILL PRACTICE,2
"January 2, 2021",SKILL PRACTICE,3
"January 2, 2021",SKILL PRACTICE,2
"January 2, 2021",TIMED MINI-SECTION,8
"December 31, 2020",SKILL PRACTICE,2
"December 31, 2020",SKILL PRACTICE,2
"December 31, 2020",SKILL PRACTICE,3
"December 31, 2020",TIMED MINI-SECTION,7
"December 31, 2020",SKILL PRACTICE,3
"December 29, 2020",SKILL PRACTICE,3
"December 29, 2020",SKILL PRACTICE,2
"December 29, 2020",TIMED MINI-SECTION,5
"December 29, 2020",SKILL PRACTICE,2
"December 29, 2020",SKILL PRACTICE,4
"December 27, 2020",SKILL PRACTICE,3
"December 27, 2020",TIMED MINI-SECTION,7
"December 27, 2020",TIMED MINI-SECTION,10
"December 27, 2020",SKILL PRACTICE,4
"December 24, 2020",SKILL PRACTICE,3
"December 24, 2020",TIMED MINI-SECTION,9
"December 24, 2020",SKILL PRACTICE,4
"December 23, 2020",SKILL PRACTICE,4
"December 21, 2020",SKILL PRACTICE,3
"December 21, 2020",TIMED MINI-SECTION,5
"December 21, 2020",SKILL PRACTICE,3
"December 21, 2020",SKILL PRACTICE,4
"December 21, 2020",SKILL PRACTICE,4
"December 16, 2020",TIMED MINI-SECTION,5
"December 16, 2020",SKILL PRACTICE,2
"December 16, 2020",SKILL PRACTICE,3
"December 16, 2020",SKILL PRACTICE,5
"December 13, 2020",TIMED MINI-SECTION,9
"December 13, 2020",SKILL PRACTICE,1
"December 13, 2020",SKILL PRACTICE,3
"December 10, 2020",SKILL PRACTICE,5
"December 10, 2020",TIMED MINI-SECTION,8
"December 10, 2020",SKILL PRACTICE,5
"December 10, 2020",PRACTICE TEST 10 SECTION,32
"December 10, 2020",PRACTICE TEST 10 SECTION,18
"December 10, 2020",SKILL PRACTICE,5
"December 10, 2020",SKILL PRACTICE,5
"December 10, 2020",TIMED MINI-SECTION,7
"December 10, 2020",SKILL PRACTICE,4
"December 10, 2020",SKILL PRACTICE,4
"December 10, 2020",SKILL PRACTICE,4
"December 10, 2020",SKILL PRACTICE,9
"December 10, 2020",SKILL PRACTICE,5
"December 10, 2020",SKILL PRACTICE,8
"December 10, 2020",SKILL PRACTICE,8
